Time,User,Executable,CommandLine,PID,Parent PID,Privileges
20150413175756.131342-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48444,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175801.778552-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48588,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175819.952584-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,43884,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175828.657399-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47160,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175848.968635-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47820,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175854.397444-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47760,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175912.649476-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,49656,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175918.249886-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,41072,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175938.670322-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47636,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175944.177132-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,46868,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180004.566367-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,46832,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180010.213577-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,46340,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180037.201625-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,49056,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180042.864435-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,40268,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180112.223686-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,50092,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180117.855296-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,56412,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180125.936110-420,NT AUTHORITY\LOCAL SERVICE,C:\Windows\system32\taskhost.exe,taskhost.exe $(Arg0),45788,588,N/A

20150413180149.211351-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,44904,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180154.811761-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47432,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180233.203429-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47752,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180238.647838-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,43520,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180316.899105-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,51356,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180322.483915-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48564,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180405.134390-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,57216,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180410.766000-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48300,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180455.616079-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,44340,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180501.232088-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,46804,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180555.023811-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,35328,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180600.593021-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47816,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180645.489899-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,46728,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180651.074709-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48012,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180802.730842-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,49660,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180811.123657-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,50108,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180916.284972-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,49168,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413180916.191371-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,49428,588,N/A

20150413180921.932181-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,49584,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181040.369119-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,50168,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181045.750357-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48868,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181110.055200-420,NT AUTHORITY\LOCAL SERVICE,None,None,48972,872,N/A

20150413181109.946000-420,Brian-HP\Brian,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},50360,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181112.287604-420,Brian-HP\Brian,None,"C:\Program Files (x86)\Adobe\Reader 10.0\Reader\AcroRd32.exe" "Z:\Optimum InfoSec\Training\Black Hat Python, Python Programming for Hackers.pdf",48516,4068,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181113.364006-420,Brian-HP\Brian,None,"C:\Program Files (x86)\Adobe\Reader 10.0\Reader\AcroRd32.exe" --channel=48516.0014F8DC.373856892 --type=renderer "Z:\Optimum InfoSec\Training\Black Hat Python, Python Programming for Hackers.pdf",51132,48516,SeChangeNotifyPrivilege|

20150413181136.951248-420,Brian-HP\Brian,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},54548,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181138.043249-420,Brian-HP\Brian,C:\Program Files (x86)\Adobe\Reader 10.0\Reader\AcroRd32.exe,"C:\Program Files (x86)\Adobe\Reader 10.0\Reader\AcroRd32.exe" --channel=53884.001EF774.1293914450 --type=renderer "Z:\Optimum InfoSec\Training\Black Hat Python, Python Programming for Hackers.pdf",51472,53884,SeChangeNotifyPrivilege|

20150413181137.934049-420,Brian-HP\Brian,C:\Program Files (x86)\Adobe\Reader 10.0\Reader\AcroRd32.exe,"C:\Program Files (x86)\Adobe\Reader 10.0\Reader\AcroRd32.exe" "Z:\Optimum InfoSec\Training\Black Hat Python, Python Programming for Hackers.pdf",53884,4068,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181215.140115-420,Brian-HP\Brian,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe,"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe" /PRODUCT:Reader /VERSION:10.0 /MODE:2,51176,53884,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181215.280515-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,51288,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181220.896525-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,51748,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181337.071459-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,54104,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181342.625068-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,52420,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181547.815288-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,51616,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181553.415698-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,51228,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181756.437514-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,53096,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413181802.069124-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,53068,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413182036.194560-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,51280,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413182041.810570-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48608,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

